SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,201142,0022400967,"MAR 14, 2025",PHX vs. SAC,W,36,7,15,0.467,4,6,0.667,4,4,1.0,2,2,4,6,1,2,4,0,22,14,1
22024,201142,0022400949,"MAR 12, 2025",PHX @ HOU,L,37,8,12,0.667,2,2,1.0,1,2,0.5,0,7,7,0,1,1,5,1,19,-13,1
22024,201142,0022400935,"MAR 10, 2025",PHX @ MEM,L,41,11,24,0.458,7,9,0.778,6,6,1.0,1,4,5,5,0,1,3,3,35,-1,1
22024,201142,0022400921,"MAR 09, 2025",PHX @ DAL,W,38,8,15,0.533,1,3,0.333,4,4,1.0,1,8,9,8,0,1,6,0,21,11,1
22024,201142,0022400909,"MAR 07, 2025",PHX @ DEN,L,46,10,16,0.625,3,7,0.429,6,7,0.857,0,9,9,5,0,0,3,1,29,-5,1
22024,201142,0022400889,"MAR 04, 2025",PHX vs. LAC,W,41,10,22,0.455,4,11,0.364,10,10,1.0,0,7,7,4,1,2,2,2,34,16,1
22024,201142,0022400873,"MAR 02, 2025",PHX vs. MIN,L,38,10,23,0.435,3,9,0.333,3,7,0.429,1,9,10,4,0,2,4,2,26,-16,1
22024,201142,0022400857,"FEB 28, 2025",PHX vs. NOP,W,35,7,10,0.7,2,2,1.0,1,1,1.0,1,1,2,6,3,0,2,3,17,22,1
22024,201142,0022400848,"FEB 27, 2025",PHX vs. NOP,L,36,12,23,0.522,4,13,0.308,0,0,0.0,0,5,5,2,1,1,2,2,28,-2,1
22024,201142,0022400832,"FEB 25, 2025",PHX @ MEM,L,43,8,19,0.421,3,7,0.429,7,7,1.0,0,8,8,7,1,0,4,1,26,-9,1
22024,201142,0022400816,"FEB 23, 2025",PHX @ TOR,L,40,5,15,0.333,0,5,0.0,5,7,0.714,0,4,4,4,3,3,2,2,15,-14,1
22024,201142,0022400806,"FEB 22, 2025",PHX @ CHI,W,38,9,15,0.6,3,6,0.5,6,6,1.0,0,10,10,5,0,1,2,0,27,6,1
22024,201142,0022400795,"FEB 20, 2025",PHX @ SAS,L,39,9,13,0.692,3,6,0.5,1,2,0.5,0,5,5,2,0,0,1,0,22,-12,1
22024,201142,0022400779,"FEB 12, 2025",PHX @ HOU,L,42,15,22,0.682,2,5,0.4,5,5,1.0,0,5,5,9,2,0,7,5,37,5,1
22024,201142,0022400767,"FEB 11, 2025",PHX vs. MEM,L,43,12,18,0.667,3,4,0.75,7,10,0.7,0,3,3,3,1,5,1,3,34,2,1
22024,201142,0022400709,"FEB 03, 2025",PHX @ POR,L,46,10,21,0.476,2,9,0.222,5,6,0.833,0,5,5,5,1,2,4,1,27,-4,1
22024,201142,0022400694,"FEB 01, 2025",PHX @ POR,L,33,9,18,0.5,1,4,0.25,3,3,1.0,0,1,1,3,0,0,3,2,22,-22,1
22024,201142,0022400685,"JAN 31, 2025",PHX @ GSW,W,29,6,13,0.462,5,9,0.556,2,4,0.5,0,6,6,3,1,1,1,2,19,16,1
22024,201142,0022400672,"JAN 29, 2025",PHX vs. MIN,L,40,13,19,0.684,4,8,0.5,3,4,0.75,0,2,2,7,2,4,0,3,33,-7,1
22024,201142,0022400659,"JAN 27, 2025",PHX vs. LAC,W,40,9,19,0.474,4,8,0.5,2,2,1.0,0,4,4,5,2,0,5,1,24,2,1
22024,201142,0022400645,"JAN 25, 2025",PHX vs. WAS,W,39,11,19,0.579,5,8,0.625,2,2,1.0,1,4,5,4,1,0,2,1,29,16,1
22024,201142,0022400613,"JAN 22, 2025",PHX @ BKN,W,30,8,15,0.533,4,7,0.571,4,4,1.0,1,7,8,3,0,1,1,0,24,17,1
22024,201142,0022400603,"JAN 20, 2025",PHX @ CLE,L,31,9,16,0.563,1,1,1.0,4,4,1.0,0,7,7,1,0,2,3,2,23,-16,1
22024,201142,0022400586,"JAN 18, 2025",PHX @ DET,W,38,13,27,0.481,2,8,0.25,8,12,0.667,0,7,7,5,2,3,2,2,36,12,1
22024,201142,0022400573,"JAN 16, 2025",PHX @ WAS,W,33,8,16,0.5,1,5,0.2,6,8,0.75,1,5,6,3,1,2,2,2,23,18,1
22024,201142,0022400556,"JAN 14, 2025",PHX @ ATL,L,39,13,20,0.65,0,2,0.0,5,7,0.714,1,7,8,6,2,2,3,0,31,5,1
22024,201142,0022400547,"JAN 12, 2025",PHX vs. CHA,W,40,11,24,0.458,2,9,0.222,3,3,1.0,0,8,8,5,1,0,1,5,27,8,1
22024,201142,0022400533,"JAN 11, 2025",PHX vs. UTA,W,36,11,19,0.579,1,4,0.25,2,3,0.667,0,5,5,7,1,0,5,1,25,-9,1
22024,201142,0022400522,"JAN 09, 2025",PHX vs. ATL,W,36,9,15,0.6,2,7,0.286,3,4,0.75,0,2,2,7,0,3,3,1,23,7,1
22024,201142,0022400502,"JAN 07, 2025",PHX @ CHA,L,36,8,18,0.444,1,6,0.167,9,10,0.9,1,5,6,2,0,1,2,2,26,1,1
22024,201142,0022400494,"JAN 06, 2025",PHX @ PHI,W,34,9,14,0.643,3,4,0.75,2,3,0.667,0,6,6,5,1,1,3,1,23,3,1
22024,201142,0022400480,"JAN 04, 2025",PHX @ IND,L,38,9,14,0.643,1,3,0.333,6,6,1.0,0,7,7,7,0,1,5,1,25,-22,1
22024,201142,0022400453,"DEC 31, 2024",PHX vs. MEM,L,39,11,19,0.579,2,5,0.4,5,7,0.714,1,9,10,6,1,2,3,2,29,-4,1
