SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,203110,0022400957,"MAR 13, 2025",GSW vs. SAC,W,29,8,14,0.571,4,7,0.571,3,4,0.75,0,4,4,4,1,1,4,4,23,12,1
22024,203110,0022400938,"MAR 10, 2025",GSW vs. POR,W,28,1,3,0.333,1,2,0.5,1,2,0.5,0,4,4,7,4,0,3,1,4,4,1
22024,203110,0022400919,"MAR 08, 2025",GSW vs. DET,W,31,3,7,0.429,2,5,0.4,4,6,0.667,1,8,9,7,3,1,4,3,12,11,1
22024,203110,0022400901,"MAR 06, 2025",GSW @ BKN,W,34,2,5,0.4,0,0,0.0,3,3,1.0,2,5,7,10,0,0,3,5,7,-7,1
22024,203110,0022400885,"MAR 04, 2025",GSW @ NYK,W,35,2,4,0.5,0,1,0.0,4,4,1.0,2,7,9,8,2,0,1,4,8,14,1
22024,203110,0022400875,"MAR 03, 2025",GSW @ CHA,W,28,6,15,0.4,2,6,0.333,2,2,1.0,3,9,12,7,2,0,0,4,16,20,1
22024,203110,0022400864,"MAR 01, 2025",GSW @ PHI,L,36,5,13,0.385,0,2,0.0,3,4,0.75,2,6,8,8,0,0,3,4,13,3,1
22024,203110,0022400845,"FEB 27, 2025",GSW @ ORL,W,32,3,8,0.375,1,1,1.0,5,7,0.714,3,7,10,4,1,0,4,4,12,6,1
22024,203110,0022400834,"FEB 25, 2025",GSW vs. CHA,W,23,6,12,0.5,1,5,0.2,2,2,1.0,1,5,6,6,3,2,1,2,15,14,1
22024,203110,0022400812,"FEB 23, 2025",GSW vs. DAL,W,27,5,10,0.5,0,2,0.0,3,4,0.75,0,4,4,6,2,0,2,1,13,19,1
22024,203110,0022400805,"FEB 21, 2025",GSW @ SAC,W,28,3,7,0.429,0,2,0.0,0,0,0.0,2,6,8,9,0,2,2,2,6,23,1
22024,203110,0022400784,"FEB 13, 2025",GSW @ HOU,W,30,5,8,0.625,1,3,0.333,2,2,1.0,1,3,4,8,2,1,4,2,13,8,1
22024,203110,0022400782,"FEB 12, 2025",GSW @ DAL,L,32,5,10,0.5,0,1,0.0,3,3,1.0,2,3,5,5,3,2,3,1,13,-13,1
22024,203110,0022400760,"FEB 10, 2025",GSW @ MIL,W,32,2,7,0.286,0,3,0.0,2,4,0.5,1,2,3,5,5,1,1,5,6,14,1
22024,203110,0022400745,"FEB 08, 2025",GSW @ CHI,W,32,1,2,0.5,0,1,0.0,4,4,1.0,2,2,4,7,3,2,4,4,6,27,1
22024,203110,0022400731,"FEB 06, 2025",GSW @ LAL,L,33,5,7,0.714,2,2,1.0,1,3,0.333,0,5,5,4,2,1,0,5,13,-1,1
22024,203110,0022400725,"FEB 05, 2025",GSW @ UTA,L,34,2,7,0.286,0,4,0.0,3,4,0.75,0,4,4,9,2,0,3,3,7,-13,1
22024,203110,0022400708,"FEB 03, 2025",GSW vs. ORL,W,29,2,4,0.5,0,2,0.0,0,2,0.0,0,7,7,5,1,0,2,1,4,9,1
22024,203110,0022400589,"JAN 18, 2025",GSW vs. WAS,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1
22024,203110,0022400518,"JAN 09, 2025",GSW @ DET,W,32,3,9,0.333,0,3,0.0,1,2,0.5,2,3,5,4,1,3,4,4,7,-2,1
22024,203110,0022400508,"JAN 07, 2025",GSW vs. MIA,L,27,3,9,0.333,0,3,0.0,1,1,1.0,1,9,10,10,0,0,1,2,7,-9,1
22024,203110,0022400492,"JAN 05, 2025",GSW vs. SAC,L,25,4,8,0.5,2,4,0.5,0,0,0.0,1,3,4,4,2,1,5,3,10,-15,1
22024,203110,0022400485,"JAN 04, 2025",GSW vs. MEM,W,31,3,7,0.429,3,6,0.5,0,0,0.0,1,1,2,3,2,1,2,4,9,10,1
22024,203110,0022400467,"JAN 02, 2025",GSW vs. PHI,W,31,6,10,0.6,1,5,0.2,2,2,1.0,0,6,6,7,0,3,3,3,15,30,1
