SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1629639,0022400958,"MAR 14, 2025",MIA vs. BOS,L,38,7,15,0.467,3,8,0.375,2,2,1.0,1,4,5,6,2,2,4,1,19,-6,1
22024,1629639,0022400948,"MAR 12, 2025",MIA vs. LAC,L,42,13,23,0.565,2,7,0.286,3,3,1.0,1,5,6,7,2,0,1,0,31,-14,1
22024,1629639,0022400931,"MAR 10, 2025",MIA vs. CHA,L,33,9,17,0.529,1,5,0.2,2,4,0.5,1,2,3,2,1,0,3,1,21,-16,1
22024,1629639,0022400916,"MAR 08, 2025",MIA vs. CHI,L,37,8,19,0.421,2,7,0.286,3,3,1.0,0,8,8,6,0,2,1,0,21,-6,1
22024,1629639,0022400907,"MAR 07, 2025",MIA vs. MIN,L,39,9,21,0.429,4,8,0.5,0,1,0.0,0,6,6,7,2,2,2,1,22,0,1
22024,1629639,0022400877,"MAR 03, 2025",MIA vs. WAS,W,26,6,10,0.6,3,5,0.6,1,1,1.0,0,3,3,6,1,1,3,1,16,4,1
22024,1629639,0022400869,"MAR 02, 2025",MIA vs. NYK,L,41,8,24,0.333,2,11,0.182,4,4,1.0,0,4,4,7,0,0,0,1,22,-6,1
22024,1629639,0022400854,"FEB 28, 2025",MIA vs. IND,W,34,11,25,0.44,3,10,0.3,4,5,0.8,2,1,3,7,0,1,1,1,29,8,1
22024,1629639,0022400841,"FEB 26, 2025",MIA vs. ATL,W,34,7,16,0.438,4,8,0.5,6,7,0.857,0,2,2,10,3,0,2,1,24,9,1
22024,1629639,0022400825,"FEB 24, 2025",MIA @ ATL,L,35,4,19,0.211,0,9,0.0,3,3,1.0,0,6,6,3,2,0,4,0,11,-4,1
22024,1629639,0022400817,"FEB 23, 2025",MIA @ MIL,L,40,12,27,0.444,3,12,0.25,13,14,0.929,1,6,7,11,0,0,2,1,40,7,1
22024,1629639,0022400800,"FEB 21, 2025",MIA @ TOR,W,40,10,18,0.556,4,9,0.444,4,4,1.0,0,3,3,7,0,1,3,0,28,13,1
22024,1629639,0022400786,"FEB 13, 2025",MIA @ DAL,L,37,15,30,0.5,3,14,0.214,7,9,0.778,1,7,8,3,3,0,3,1,40,-8,1
22024,1629639,0022400778,"FEB 12, 2025",MIA @ OKC,L,32,5,12,0.417,1,6,0.167,3,4,0.75,0,2,2,6,2,0,4,1,14,-23,1
22024,1629639,0022400737,"FEB 07, 2025",MIA @ BKN,L,38,6,22,0.273,2,11,0.182,1,1,1.0,1,3,4,6,1,0,4,3,15,-11,1
