SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1626157,0022400953,"MAR 12, 2025",NYK @ POR,W,39,8,12,0.667,2,4,0.5,3,4,0.75,3,4,7,4,2,1,3,3,21,12,1
22024,1626157,0022400939,"MAR 10, 2025",NYK @ SAC,W,28,8,15,0.533,3,6,0.5,7,9,0.778,2,7,9,3,1,1,4,5,26,8,1
22024,1626157,0022400911,"MAR 07, 2025",NYK @ LAC,L,34,8,21,0.381,3,7,0.429,4,4,1.0,2,8,10,2,2,0,3,3,23,-17,1
22024,1626157,0022400903,"MAR 06, 2025",NYK @ LAL,L,42,3,13,0.231,1,6,0.167,5,7,0.714,3,11,14,1,1,0,2,5,12,-1,1
22024,1626157,0022400869,"MAR 02, 2025",NYK @ MIA,W,40,6,11,0.545,1,4,0.25,6,7,0.857,4,12,16,0,0,1,3,4,19,10,1
22024,1626157,0022400856,"FEB 28, 2025",NYK @ MEM,W,31,4,11,0.364,1,5,0.2,2,3,0.667,1,6,7,2,0,1,1,5,11,-10,1
22024,1626157,0022400811,"FEB 23, 2025",NYK @ BOS,L,41,9,20,0.45,3,4,0.75,3,3,1.0,5,13,18,0,0,0,1,4,24,-1,1
22024,1626157,0022400797,"FEB 21, 2025",NYK @ CLE,L,29,10,15,0.667,1,3,0.333,2,3,0.667,2,5,7,4,1,1,4,1,23,-21,1
22024,1626157,0022400792,"FEB 20, 2025",NYK vs. CHI,W,43,14,30,0.467,2,10,0.2,2,4,0.5,2,16,18,2,2,0,3,2,32,2,1
22024,1626157,0022400773,"FEB 12, 2025",NYK vs. ATL,W,47,14,25,0.56,7,10,0.7,9,11,0.818,1,9,10,3,2,0,7,4,44,7,1
22024,1626157,0022400765,"FEB 11, 2025",NYK @ IND,W,38,14,23,0.609,3,8,0.375,9,9,1.0,4,8,12,5,3,0,2,5,40,14,1
22024,1626157,0022400748,"FEB 08, 2025",NYK vs. BOS,L,28,3,8,0.375,2,2,1.0,1,2,0.5,1,8,9,1,1,1,2,4,9,-26,1
22024,1626157,0022400713,"FEB 04, 2025",NYK @ TOR,W,39,10,19,0.526,2,3,0.667,5,5,1.0,9,11,20,2,0,1,2,1,27,13,1
22024,1626157,0022400702,"FEB 03, 2025",NYK vs. HOU,W,38,9,20,0.45,1,5,0.2,3,5,0.6,2,7,9,2,1,1,1,6,22,16,1
22024,1626157,0022400692,"FEB 01, 2025",NYK vs. LAL,L,35,3,12,0.25,1,2,0.5,4,4,1.0,2,4,6,3,0,0,3,5,11,-15,1
22024,1626157,0022400668,"JAN 29, 2025",NYK vs. DEN,W,30,6,12,0.5,0,4,0.0,2,3,0.667,3,7,10,5,0,1,0,4,14,-1,1
22024,1626157,0022400653,"JAN 27, 2025",NYK vs. MEM,W,33,9,17,0.529,2,4,0.5,4,4,1.0,6,5,11,1,2,0,2,1,24,23,1
22024,1626157,0022400641,"JAN 25, 2025",NYK vs. SAC,W,28,7,18,0.389,0,1,0.0,4,4,1.0,5,10,15,2,1,0,1,1,18,-3,1
22024,1626157,0022400606,"JAN 21, 2025",NYK @ BKN,W,39,11,18,0.611,0,3,0.0,3,4,0.75,5,11,16,6,3,2,5,4,25,16,1
22024,1626157,0022400602,"JAN 20, 2025",NYK vs. ATL,W,37,5,18,0.278,1,6,0.167,2,2,1.0,0,9,9,7,0,1,1,2,13,11,1
22024,1626157,0022400549,"JAN 13, 2025",NYK vs. DET,L,43,7,17,0.412,4,9,0.444,8,10,0.8,0,12,12,3,1,0,6,5,26,-4,1
22024,1626157,0022400539,"JAN 12, 2025",NYK vs. MIL,W,36,10,16,0.625,2,5,0.4,8,9,0.889,5,13,18,4,1,0,2,3,30,28,1
22024,1626157,0022400529,"JAN 10, 2025",NYK vs. OKC,L,29,9,16,0.563,1,2,0.5,4,4,1.0,3,7,10,1,1,0,3,3,23,-10,1
22024,1626157,0022400511,"JAN 08, 2025",NYK vs. TOR,W,34,9,14,0.643,3,3,1.0,6,6,1.0,4,9,13,2,3,2,2,3,27,25,1
22024,1626157,0022400482,"JAN 04, 2025",NYK @ CHI,L,37,17,29,0.586,3,7,0.429,7,10,0.7,6,10,16,5,1,0,3,3,44,-5,1
22024,1626157,0022400473,"JAN 03, 2025",NYK @ OKC,L,42,7,13,0.538,0,0,0.0,3,4,0.75,4,18,22,4,3,0,2,4,17,-6,1
