SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1629630,0022400962,"MAR 14, 2025",MEM vs. CLE,L,35,17,22,0.773,1,4,0.25,9,10,0.9,0,8,8,7,1,0,2,3,44,-6,1
22024,1629630,0022400950,"MAR 12, 2025",MEM vs. UTA,W,31,8,17,0.471,4,7,0.571,8,11,0.727,0,1,1,7,1,0,2,0,28,3,1
22024,1629630,0022400935,"MAR 10, 2025",MEM vs. PHX,W,34,9,13,0.692,1,5,0.2,10,10,1.0,1,3,4,12,1,0,5,3,29,15,1
22024,1629630,0022400923,"MAR 09, 2025",MEM @ NOP,W,37,11,23,0.478,3,9,0.333,7,11,0.636,1,3,4,6,3,0,1,3,32,11,1
22024,1629630,0022400906,"MAR 07, 2025",MEM @ DAL,W,35,13,29,0.448,1,5,0.2,4,5,0.8,1,3,4,8,1,0,3,3,31,16,1
22024,1629630,0022400895,"MAR 05, 2025",MEM vs. OKC,L,32,8,22,0.364,2,9,0.222,6,6,1.0,0,3,3,6,1,0,5,5,24,-21,1
22024,1629630,0022400856,"FEB 28, 2025",MEM vs. NYK,L,31,9,22,0.409,0,6,0.0,7,7,1.0,0,4,4,7,1,0,4,3,25,8,1
22024,1629630,0022400832,"FEB 25, 2025",MEM vs. PHX,W,37,7,25,0.28,1,12,0.083,14,14,1.0,0,4,4,8,2,0,5,5,29,6,1
22024,1629630,0022400819,"FEB 23, 2025",MEM @ CLE,L,34,6,13,0.462,2,4,0.5,7,7,1.0,0,2,2,10,0,0,1,5,21,-5,1
22024,1629630,0022400798,"FEB 21, 2025",MEM @ ORL,W,33,10,24,0.417,1,7,0.143,2,2,1.0,1,3,4,5,1,0,7,3,23,1,1
22024,1629630,0022400788,"FEB 20, 2025",MEM @ IND,L,30,4,15,0.267,0,3,0.0,4,5,0.8,0,0,0,6,0,0,5,3,12,-11,1
22024,1629630,0022400767,"FEB 11, 2025",MEM @ PHX,W,33,8,19,0.421,0,5,0.0,10,12,0.833,1,6,7,6,1,0,2,1,26,14,1
22024,1629630,0022400746,"FEB 08, 2025",MEM vs. OKC,L,36,6,19,0.316,2,4,0.5,2,4,0.5,1,4,5,7,0,2,1,2,16,-12,1
22024,1629630,0022400722,"FEB 05, 2025",MEM @ TOR,W,25,9,14,0.643,3,7,0.429,5,6,0.833,0,5,5,4,2,0,5,4,26,16,1
22024,1629630,0022400703,"FEB 03, 2025",MEM vs. SAS,W,29,9,18,0.5,4,6,0.667,3,3,1.0,1,2,3,11,3,0,4,1,25,9,1
22024,1629630,0022400653,"JAN 27, 2025",MEM @ NYK,L,27,5,13,0.385,0,1,0.0,0,0,0.0,1,4,5,2,0,0,4,0,10,-41,1
22024,1629630,0022400643,"JAN 25, 2025",MEM vs. UTA,W,26,4,9,0.444,2,6,0.333,1,2,0.5,1,0,1,7,1,0,4,4,11,24,1
22024,1629630,0022400616,"JAN 22, 2025",MEM vs. CHA,W,32,5,9,0.556,2,5,0.4,4,4,1.0,0,4,4,13,3,1,5,2,16,4,1
22024,1629630,0022400601,"JAN 20, 2025",MEM vs. MIN,W,30,5,16,0.313,0,4,0.0,9,13,0.692,0,4,4,7,1,0,2,2,19,15,1
22024,1629630,0022400567,"JAN 15, 2025",MEM @ SAS,W,31,9,13,0.692,1,2,0.5,2,2,1.0,0,4,4,12,2,0,2,3,21,22,1
22024,1629630,0022400551,"JAN 13, 2025",MEM @ HOU,L,37,11,24,0.458,4,11,0.364,3,6,0.5,0,3,3,4,4,0,7,2,29,11,1
22024,1629630,0022400535,"JAN 11, 2025",MEM @ MIN,W,30,5,19,0.263,0,4,0.0,2,2,1.0,2,3,5,4,1,0,5,4,12,1,1
22024,1629630,0022400520,"JAN 09, 2025",MEM vs. HOU,L,29,9,22,0.409,1,5,0.2,8,11,0.727,1,2,3,3,1,0,4,2,27,-7,1
22024,1629630,0022400423,"DEC 27, 2024",MEM @ NOP,W,25,8,11,0.727,3,4,0.75,6,7,0.857,0,2,2,7,1,0,3,2,25,21,1
22024,1629630,0022400414,"DEC 26, 2024",MEM vs. TOR,W,24,5,10,0.5,1,3,0.333,4,4,1.0,0,2,2,9,0,0,3,0,15,28,1
22024,1629630,0022400399,"DEC 23, 2024",MEM vs. LAC,L,29,7,20,0.35,2,8,0.25,7,8,0.875,0,6,6,4,1,1,7,0,23,-12,1
22024,1629630,0022400366,"DEC 19, 2024",MEM vs. GSW,W,17,4,9,0.444,1,5,0.2,0,0,0.0,1,2,3,3,2,2,1,1,9,24,1
